# MATCH public brand/geo evidence v2
input_run=35243466737 input_result_sha256=b5f57a41e57d2238fa58669897098f5f405049247fb70a93e9d1f02b68b2580d
checked_rows=26 new_public_evidence_rows=26 geo_match=5 geo_conflict=13 geo_insufficient=8 native_id_equivalence=0 mapping_writes=0
namespace	external_id	andromeda_id	source_name	official_name	official_geo	top_local_id	top_local_name	geo_relation	evidence_sha256	official_url
operator_315	787042	182522	Best Nobel Hotel	Best Nobel Hotel	Istanbul / Sirkeci-Fatih	109026	JEST OTEL	conflict	ee55fae6ed826dade47af3998dde9f8504c9443298a83f3cb2afc4bfabbd551b	https://bestnobelhotel.com/
operator_315	839186	2000073045	Meraki Resort Sharm El Sheikh (Adult Only)	Meraki Resort Sharm El Sheikh	Sharm El Sheikh	80964	MERAKI RESORT SHARM EL SHEIKH ADULTS ONLY 16+	match	bb80a95d51657115c26b11f2d842b883b8644cfedadc136ab5feb3be976f6ff3	https://meraki-resort.com/ssh/
operator_342	17362	218356	Darkhill Hotel	Darkhill Hotel	Istanbul / Beyazit-Laleli / Fatih	102245	KERTHILL HOTEL	insufficient	c2b624f572ee64e954ec525dc676318698dbbafbe60ff731d24fb6c272a20e66	https://darkhillhotel.com/
operator_342	17471	2000117376	Delta Hotel Istanbul	Delta Hotel Istanbul	Istanbul / Aksaray / Fatih	76112	MELAS HOTEL ISTANBUL	conflict	e2c32bc2af4314377db3621710f7a022585ca1b733230835ef4c3eea1b4e4cad	https://www.deltahotelistanbul.com/
operator_342	23547	182522	Best Nobel Hotel	Best Nobel Hotel	Istanbul / Sirkeci-Fatih	109026	JEST OTEL	conflict	5ebd84fce87871421251dbbb3eda12e94da902f5404c541e66674d76da1c8c75	https://bestnobelhotel.com/
operator_315	29685	2000034121	Delphin Palace	Delphin Palace	Antalya / Lara	1149	DELPHIN DELUXE RESORT	conflict	262800a33e804c7a0ee6ed01e2876f187822c748e2496d1f1d7c7a891eb03b7a	https://www.delphinhotel.com/en/delphin-palace/overview
operator_315	778871	2000084135	Side Sunberk Hotel	Sunberk Hotel & Resort	Antalya / Side / Manavgat	2263	SUNBERK HOTEL	match	1a74c279503dd2d4b5e7a5e03287f51986d7339965a6b61a67e796ccdee16034	https://sunberk.com/
operator_342	549	2000034121	Delphin Palace	Delphin Palace	Antalya / Lara	1149	DELPHIN DELUXE RESORT	conflict	572e5b35e2234fcec74c9dff52a785ddb36d3c950258bc4c3d8a13f6301b6d6b	https://www.delphinhotel.com/en/delphin-palace/overview
operator_315	31083	2000035221	TUI BLUE Seno	TUI BLUE Seno	Sarigerme / Ortaca / Mugla	62871	BLUE SEA HOTEL & SPA	conflict	4030d3c0d2c2b71f06c1aa501ace8750cfc764588c973a1c9758de7b0bcf8502	https://www.tui-blue.com/de/de/hotels/tui-blue-seno/
operator_315	698991	3888	Romance Istanbul Hotel	Romance Istanbul Hotel	Istanbul / Sirkeci	17320	AYMA HOTEL ISTANBUL	conflict	f6b55676f482d8e32fba0ed1d8c9d9283de211d8f97a80fc9c2a91009f704ebb	https://romanceistanbulhotel.com/
operator_315	354014	2000037261	Kimera Lounge Hotel	Kimera Lounge Hotel	Cirali / Kemer / Antalya	21808	PRIMERA SUITE	conflict	6b6815679ce8dab3c32982ee545fddbb3cea31fcc247febfe723f97d1ec5b67c	https://kimerahotel.com/
operator_342	743	3060	Labranda Mares Hotel	Labranda Mares Marmaris	Icmeler / Marmaris / Mugla	2105	ALARA HOTEL MARMARIS	match	e6e5657b58bc2e5ff754e6117b45d1d9745401002fa8a63044b6b6aaaac8e877	https://labrandamares.mphotels.com.tr/en/
operator_315	799631	2000061716	Le Meridien Bodrum Beach Resort	Le Meridien Bodrum Beach Resort	Bodrum Peninsula / Bogazici	112840	SENTIDO BODRUM BEACH	insufficient	9ad7551274e4bbad52ce3938acb79d4a50edf6be8a31d0803e06307de3735276	https://www.marriott.com/en-us/hotels/bjvmd-le-meridien-bodrum-beach-resort/overview/
operator_342	24954	2000061716	Le Meridien Bodrum Beach Resort	Le Meridien Bodrum Beach Resort	Bodrum Peninsula / Bogazici	112840	SENTIDO BODRUM BEACH	insufficient	12ea1ac5cfa59ebbca566526ce6181004d90676488d1b824c6aa4b54660cca0b	https://www.marriott.com/en-us/hotels/bjvmd-le-meridien-bodrum-beach-resort/overview/
operator_315	75663	3060	Labranda Mares Marmaris	Labranda Mares Marmaris	Icmeler / Marmaris / Mugla	155668	RAYON APART MARMARIS	insufficient	fb48db3494cb1de58adb487cd04ff99a5dfc63353b55f16d5115344d56af8587	https://labrandamares.mphotels.com.tr/en/
operator_315	784851	2000064940	Cook's Club Adakoy	Cook's Club Adakoy Marmaris	Adakoy / Marmaris / Mugla	75500	SUB KARAKOY HOTEL	conflict	a427de070285f2434bbcee77307c96b76002f193242510d0fbffd9df0348e1ee	https://www.cooksclubadakoy.com/
